2026-07-05 07:05:20 | INFO     | retail_platform.cloud.storage.gcs_uploader | Successfully uploaded 'olist_sellers_dataset.csv'
2026-07-05 07:05:20 | INFO     | __main__ | --------------------------------
2026-07-05 07:05:20 | INFO     | __main__ | Upload Summary
2026-07-05 07:05:20 | INFO     | __main__ | Uploaded : 8
2026-07-05 07:05:20 | INFO     | __main__ | Failed   : 1
2026-07-05 07:05:20 | INFO     | __main__ | --------------------------------
2026-07-05 07:07:05 | INFO     | __main__ | Starting Raw Data Upload
2026-07-05 07:07:05 | INFO     | __main__ | --------------------------------
2026-07-05 07:07:05 | INFO     | __main__ | Dataset : category_translation
2026-07-05 07:07:05 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'product_category_name_translation.csv' to 'gs://gcp-alshaya-medallion-data/raw/olist/category_translation/category_translation.csv'
2026-07-05 07:07:16 | INFO     | retail_platform.cloud.storage.gcs_uploader | Successfully uploaded 'product_category_name_translation.csv'
2026-07-05 07:07:16 | INFO     | __main__ | --------------------------------
2026-07-05 07:07:16 | INFO     | __main__ | Dataset : customers
2026-07-05 07:07:16 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_customers_dataset.csv' to 'gs://gcp-alshaya-medallion-data/raw/olist/customers/customers.csv'
2026-07-05 07:07:28 | INFO     | retail_platform.cloud.storage.gcs_uploader | Successfully uploaded 'olist_customers_dataset.csv'
2026-07-05 07:07:28 | INFO     | __main__ | --------------------------------
2026-07-05 07:07:28 | INFO     | __main__ | Dataset : geolocation
2026-07-05 07:07:28 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_geolocation_dataset.csv' to 'gs://gcp-alshaya-medallion-data/raw/olist/geolocation/geolocation.csv'
2026-07-05 07:08:29 | ERROR    | __main__ | ('Connection aborted.', TimeoutError('The write operation timed out'))
2026-07-05 07:08:29 | INFO     | __main__ | --------------------------------
2026-07-05 07:08:29 | INFO     | __main__ | Dataset : order_items
2026-07-05 07:08:29 | INFO     | retail_platform.cloud.storage.gcs_uploader | Uploading 'olist_order_items_dataset.csv' to 'gs://gcp-alshaya-medallion-data/raw/olist/order_items/order_items.csv'
